Created At: 2026-09-20T11:36:20-03:00
Completed At: 2026-09-20T11:36:20-03:00
File Path: `file:///c:/Users/JOE/Documents/GitHub/financeiro-web/frontend/src/app/pages/inadimplencia/inadimplencia.component.html`
Total Lines: 1401
Total Bytes: 87208
Showing lines 1 to 800
Content truncated: showing bytes 0-46080 of 51822. To see more, call this tool again with the same line range and ContentOffset=46080.
The following code has been modified to include a line number before every line, in the format: <line_number>: <original_line>. Please note that any changes targeting the original code should remove the line number, colon, and leading space.
1: <div class="page-container">
2:   <div class="main-layout">
572:                                 <li class="page-item" [class.disabled]="pageFinanceiro === totalPagesFinanceiro">
573:                                   <button class="page-link"
574:                                     (click)="pageFinanceiro = pageFinanceiro + 1">Próxima</button>
575:                                 </li>
576:                               </ul>
577:                             </nav>
578:                           </div>
579:                         </div>
580:                       </div>
581:                     </div>
582: 
583:                     <div class="row g-4 mb-4">
584:                       <div class="col-12 col-xl-8">
585:                         <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
586:                           <h6 class="mb-3 fw-semibold text-secondary">Títulos Pagos Fora do Prazo (Anual)</h6>
587:                           <div echarts *ngIf="chartOptionsAtrasoAnual" [options]="chartOptionsAtrasoAnual"
588:                             class="chart-container" style="min-height: 280px;"></div>
589:                         </div>
590:                       </div>
591:                       <div class="col-12 col-xl-4">
592:                         <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
593:                           <h6 class="mb-3 fw-semibold text-secondary">Boletos Vencidos por Faixa (Dias)</h6>
594:                           <div echarts *ngIf="chartOptionsFaixasAtraso" [options]="chartOptionsFaixasAtraso"
595:                             class="chart-container" style="min-height: 280px;"></div>
596:                         </div>
597:                       </div>
598:                     </div>
599:                     <div class="row g-4 mb-4">
600:                       <div class="col-12 col-xl-4">
601:                         <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
602:                           <h6 class="mb-3 fw-semibold text-secondary">Protestos no Semestre</h6>
603:                           <div echarts *ngIf="chartOptionsProtestos" [options]="chartOptionsProtestos"
604:                             class="chart-container" style="min-height: 280px;"></div>
605:                         </div>
606:                       </div>
607:                       <div class="col-12 col-xl-4">
608:                         <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
609:                           <h6 class="mb-3 fw-semibold text-secondary">Concentração de Atrasos por Cliente</h6>
610:                           <div class="table-responsive" style="max-height: 280px; overflow-y: auto;">
611:                             <table class="saas-table w-100 mt-2">
612:                               <thead>
613:                                 <tr>
614:                                   <th style="position: sticky; top: 0; background: #f8fafc; z-index: 1;">Cliente</th>
615:                                   <th class="text-center"
616:                                     style="position: sticky; top: 0; background: #f8fafc; z-index: 1;">Qtd</th>
617:                                   <th class="text-end"
618:                                     style="position: sticky; top: 0; background: #f8fafc; z-index: 1;">Valor</th>
619:                                 </tr>
620:                               </thead>
621:                               <tbody>
622:                                 <tr *ngFor="let c of rankingClientes">
623:                                   <td>{{ c.nome }}</td>
624:                                   <td class="text-center"><span
625:                                       class="badge rounded-pill bg-light text-secondary border px-2 py-1">{{ c.qtd
626:                                       }}</span></td>
627:                                   <td class="text-end"><span
628:                                       class="badge rounded-pill bg-danger bg-opacity-10 text-danger border border-danger-subtle px-2 py-1">{{
629:                                       c.valor | currency:'BRL' }}</span></td>
630:                                 </tr>
631:                               </tbody>
632:                             </table>
633:                           </div>
634:                         </div>
635:                       </div>
636:                       <div class="col-12 col-xl-4">
637:                         <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
638:                           <h6 class="mb-3 fw-semibold text-secondary">Concentração de Atrasos por Gerente/Rep.</h6>
639:                           <div class="table-responsive" style="max-height: 280px; overflow-y: auto;">
640:                             <table class="saas-table w-100 mt-2">
641:                               <thead>
642:                                 <tr>
643:                                   <th style="position: sticky; top: 0; background: #f8fafc; z-index: 1;">Nome</th>
644:                                   <th class="text-center"
645:                                     style="position: sticky; top: 0; background: #f8fafc; z-index: 1;">Qtd</th>
646:                                   <th class="text-end"
647:                                     style="position: sticky; top: 0; background: #f8fafc; z-index: 1;">Valor</th>
648:                                 </tr>
649:                               </thead>
650:                               <tbody>
651:                                 <tr *ngFor="let r of rankingGerentes">
652:                                   <td>{{ r.nome }}</td>
653:                                   <td class="text-center"><span
654:                                       class="badge rounded-pill bg-light text-secondary border px-2 py-1">{{ r.qtd
655:                                       }}</span></td>
656:                                   <td class="text-end"><span
657:                                       class="badge rounded-pill bg-danger bg-opacity-10 text-danger border border-danger-subtle px-2 py-1">{{
658:                                       r.valor | currency:'BRL' }}</span></td>
659:                                 </tr>
660:                               </tbody>
661:                             </table>
662:                           </div>
663:                         </div>
664:                       </div>
665:                     </div>
666:                   </div>
667: 
668:                                     <!-- Aba: Gerente/Representante -->
669:                   <div *ngIf="financeiroTab() === 'gerente'">
670:                     <!-- Painel: Atual -->
671:                     <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
672:                       <div class="d-flex justify-content-between align-items-center mb-3">
673:                         <div class="d-flex align-items-center gap-3">
674:                           <h5 class="fw-bold text-secondary mb-0 ms-1">Visão por Carteira</h5>
675:                           <div class="config-toolbar mb-0 ms-3">
676:                             <select class="form-select form-select-sm" style="width: 250px;">
677:                               <option value="">Selecione o Gerente...</option>
678:                               <option *ngFor="let g of rankingGerentes" [value]="g.nome">{{ g.nome }}</option>
679:                             </select>
680:                           </div>
681:                         </div>
682:                         <span
683:                           class="badge bg-secondary bg-opacity-10 text-secondary border border-secondary-subtle px-3 py-2"
684:                           style="font-size: 0.85rem;">
685:                           <i class="fa-regular fa-calendar me-2"></i>{{ dataHoje | date:'dd/MM/yyyy' }}
686:                         </span>
687:                       </div>
688:                       
689:                       <div class="row g-4">
690:                         <div class="col-12 col-md-6">
691:                           <div class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex justify-content-between align-items-center h-100">
692:                             <div>
693:                               <p class="text-muted text-uppercase mb-1" style="font-size: 0.8rem; font-weight: 600; letter-spacing: 0.05em;">Total Vencido da Carteira</p>
694:                               <h3 class="fw-bold mb-0 text-danger">{{ kpiTotalVencidoAtual * 0.35 | currency:'BRL' }}</h3>
695:                             </div>
696:                           </div>
697:                         </div>
698:                         <div class="col-12 col-md-6">
699:                           <div class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex justify-content-between align-items-center h-100">
700:                             <div>
701:                               <p class="text-muted text-uppercase mb-1" style="font-size: 0.8rem; font-weight: 600; letter-spacing: 0.05em;">Total Protestado da Carteira</p>
702:                               <h3 class="fw-bold mb-0 text-warning" style="color: #f59e0b !important;">{{ kpiTotalProtestadoAtual * 0.42 | currency:'BRL' }}</h3>
703:                             </div>
704:                           </div>
705:                 
<truncated 1092 bytes>

NOTE: The output was truncated because it was too long. Use a more targeted query or a smaller range to get the information you need.
